  6.99281   240.291687    39.954853     0.005580    -6.346937   -11.123611    10.729136    -0.904082    -0.464079  -407.705688     3.548662     2.000000
  8.83688   128.009018    85.493858     0.023024    -3.321121     4.249463    68.434685    -0.907273     0.265392   -33.389084     4.302373     2.000000
  6.97964   157.907471    -4.144629     0.010522   -29.079123    11.803391    -2.274160    -0.906003    -0.003134  -129.243622     2.362257     2.000000
 12.07399   149.345413    -6.084157     0.029988   -76.355133    45.254539    -9.460734    -0.901974     0.330119   -31.444653     7.654786     0.488000
  7.57300   121.542068    33.101559     0.024302   -31.742989    51.714588    39.558899    -0.918312     0.462991   -38.262329     4.042746     2.000000
 10.94632   210.038010    47.203815     0.022229   -38.987350   -22.543850    48.640923    -0.900071     0.128974   -90.887573     4.240207     2.000000
  4.42577   152.594742    65.000992     0.008272    -9.285153     4.814046    22.430250    -0.934021    -0.071451   -48.048756     2.504962     2.000000
 12.47140   174.900009    65.563339     0.026812   -32.910278     2.937154    72.714973    -0.916319     0.083879  -110.355209     2.506922     0.958000
  7.93252   141.868149   -54.697655     0.007263    -9.880187     7.755928   -17.738647    -0.931382    -0.046671   -46.087978     3.529455     2.000000
  4.26633   169.496246     0.924409     0.007235   -21.287830     3.946910     0.349340    -0.936465    -0.018725   -50.011017     1.163556     2.000000
  5.13066   156.520554    57.385330     0.011697   -17.287382     7.509397    29.455074    -0.918312    -0.199455   -38.262329     4.206180     2.000000
 12.44102   124.521576    72.961311     0.029649   -14.656312    21.307871    84.386314    -0.943756     0.276446   -56.889126     7.865652     0.554000
 12.03554   217.321686    -3.700613     0.018581   -44.010502   -33.553368    -3.579412    -0.913361     0.367592  -176.346161     2.101801     2.000000
 11.49164   266.682495   -47.064754     0.003342    -0.394676    -6.808745    -7.330334    -0.901432    -0.372195 -1576.304565    10.046469     0.985000
 11.79796   234.588943    58.389477     0.024997   -22.624849   -31.823246    63.442505    -0.900553    -0.086177  -121.469040     3.485300     1.875000
 12.22583   229.177948   -27.693270     0.028777   -49.594315   -57.410866   -39.819016    -0.904697     0.697269   -64.139816     5.851343     0.696000
 10.62743   174.926895    11.431200     0.027525   -80.036850     7.105233    16.247263    -0.903355     1.523037   -63.167786     1.169167     0.932500
  6.28751   116.381042    48.607582     0.014036   -12.321396    24.841915    31.461590    -0.928523     0.028932   -44.128799     2.730762     2.000000
  8.28846   173.257446   -41.575428     0.026027   -57.608856     6.810868   -51.459263    -0.904697    -0.068753   -32.416481     3.650617     1.928000
 13.93215   201.539368    68.479523     0.018659   -19.003084    -7.500599    51.809731    -0.905224    -0.188839  -318.187958     3.384921     2.000000
 10.46857   241.451309   -15.872617     0.029877   -40.881496   -75.141991   -24.323393    -0.901974     1.058545   -31.444653     8.434930     0.487500
  8.19667   196.644745    21.023348     0.026456   -70.486710   -21.072958    28.275023    -0.904697     3.188181   -32.416481     4.881433     1.884500
  6.06231   183.152298    -3.357997     0.013664   -40.699791    -2.241491    -2.391693    -0.937620     0.249774   -50.992668     3.732602     2.000000
  5.66910   121.869919    31.442417     0.003249    -4.384599     7.052401     5.077397    -0.902953    -0.490244  -525.728943     4.177898     1.983500
  9.86264   201.834244     7.056689     0.027304   -74.918663   -30.017302     9.990813    -0.932727     1.695031   -47.068176     7.583092     0.979000
 18.56005   107.787239     9.088452     0.022819   -20.523672    63.972675    10.747285    -0.914936     0.183842  -108.404388    12.858838     1.812500
  5.28114   189.675430    38.605885     0.007050   -16.253147    -2.771031    13.164711    -0.901974    -0.031421  -123.411484     1.150182     2.000000
  6.62760   111.779495    46.356762     0.024225   -18.490843    46.278431    52.253704    -0.901974     1.030216   -31.444653     4.623869     2.000000
 23.93843   132.712784   -43.054611     0.021868   -32.326374    35.016068   -44.525188    -0.902669     0.154282  -124.383011    13.775489     1.720000
  6.89551   226.773346   -21.854818     0.016702   -31.702608   -33.728397   -18.565624    -0.904697     0.145782   -64.139816     3.874261     2.000000
  6.29829   110.043411    30.646776     0.020555   -18.081816    49.562515    31.259089    -0.909713     0.644568   -34.362415     4.355159     2.000000
 13.88331   230.046677    26.504910     0.028614   -48.962353   -58.447701    38.022991    -0.908914     0.163816  -100.609596     3.584299     0.678000
 11.15350   163.682907   -25.448801     0.027395   -70.708641    20.699560   -35.060978    -0.910886     0.139595   -69.005539     3.312089     0.928500
  8.58097   229.203903     3.539934     0.024579   -47.772041   -55.352085     4.523153    -0.928523     0.389145   -44.128799     1.983816     1.995500
  3.58764   351.452698    83.359535     0.003591     1.229935    -0.184854    10.683322    -0.909713    -0.467834   -34.362415     3.402740     2.000000
  9.63155   155.350143   -10.077359     0.022426   -59.842255    27.460936   -11.701448    -0.904697     0.508038   -64.139816     6.427411     2.000000
  8.15159   190.262665    -1.144189     0.027139   -79.526947   -14.398971    -1.614181    -0.904697     0.461865   -32.416481     7.487025     1.825000
 12.31382   143.072281    54.955769     0.020870   -28.577183    21.477980    50.970425    -0.909713     0.416915  -168.552368     3.657440     2.000000
